session_key,meeting_key,driver_number,date,position
9545,1239,55,2024-06-28T14:49:20.701000+00:00,4
9545,1239,55,2024-06-28T14:49:32.579000+00:00,2
9545,1239,55,2024-06-28T14:50:16.366000+00:00,3
9545,1239,55,2024-06-28T14:50:51.230000+00:00,4
9545,1239,55,2024-06-28T14:51:09.357000+00:00,2
9545,1239,55,2024-06-28T14:51:45.517000+00:00,3
9545,1239,55,2024-06-28T14:51:56.930000+00:00,4
9545,1239,55,2024-06-28T14:52:14.681000+00:00,2
9545,1239,55,2024-06-28T14:52:32.660000+00:00,3
9545,1239,55,2024-06-28T14:52:50.807000+00:00,4
9545,1239,55,2024-06-28T15:12:00.420000+00:00,3
9545,1239,55,2024-06-28T15:12:14.957000+00:00,4
9545,1239,55,2024-06-28T15:13:35.981000+00:00,3
9545,1239,55,2024-06-28T15:13:43.384000+00:00,4
9545,1239,55,2024-06-28T15:14:40.928000+00:00,4
9549,1239,55,2024-06-29T10:07:19.003000+00:00,4
9541,1239,55,2024-06-29T13:46:51.100000+00:00,4
9541,1239,55,2024-06-29T14:00:46.789000+00:00,2
9541,1239,55,2024-06-29T14:01:03.787000+00:00,3
9541,1239,55,2024-06-29T14:01:18.909000+00:00,4
9541,1239,55,2024-06-29T14:02:29.846000+00:00,2
9541,1239,55,2024-06-29T14:02:40.934000+00:00,3
9541,1239,55,2024-06-29T14:02:44.915000+00:00,4
9541,1239,55,2024-06-29T14:03:36.064000+00:00,1
9541,1239,55,2024-06-29T14:03:46.872000+00:00,2
9541,1239,55,2024-06-29T14:03:55.308000+00:00,3
9541,1239,55,2024-06-29T14:04:05.733000+00:00,4
9541,1239,55,2024-06-29T14:09:18.334000+00:00,1
9541,1239,55,2024-06-29T14:25:04.483000+00:00,2
9541,1239,55,2024-06-29T14:25:15.530000+00:00,3
9541,1239,55,2024-06-29T14:25:19.671000+00:00,1
9541,1239,55,2024-06-29T14:26:35.385000+00:00,2
9541,1239,55,2024-06-29T14:26:46.376000+00:00,3
9541,1239,55,2024-06-29T14:26:56.103000+00:00,1
9541,1239,55,2024-06-29T14:27:41.037000+00:00,2
9541,1239,55,2024-06-29T14:27:52.024000+00:00,3
9541,1239,55,2024-06-29T14:28:12.366000+00:00,4
9541,1239,55,2024-06-29T14:33:42.259000+00:00,2
9541,1239,55,2024-06-29T14:48:53.599000+00:00,3
9541,1239,55,2024-06-29T14:49:03.452000+00:00,4
9541,1239,55,2024-06-29T14:49:34.648000+00:00,1
9541,1239,55,2024-06-29T14:49:53.320000+00:00,2
9541,1239,55,2024-06-29T14:50:25.541000+00:00,3
9541,1239,55,2024-06-29T14:50:37.263000+00:00,4
9541,1239,55,2024-06-29T14:51:01.677000+00:00,1
9541,1239,55,2024-06-29T14:51:31.565000+00:00,2
9541,1239,55,2024-06-29T14:51:32.394000+00:00,3
9541,1239,55,2024-06-29T14:51:45.375000+00:00,4
9541,1239,55,2024-06-29T14:52:06.924000+00:00,1
9541,1239,55,2024-06-29T14:52:19.843000+00:00,2
9541,1239,55,2024-06-29T14:52:36.877000+00:00,3
9541,1239,55,2024-06-29T14:52:42.924000+00:00,4
9541,1239,55,2024-06-29T14:59:59.200000+00:00,4
9541,1239,55,2024-06-29T15:01:26.123000+00:00,4
9550,1239,55,2024-06-30T12:07:38.634000+00:00,4
9550,1239,55,2024-06-30T13:10:11.227000+00:00,4
9550,1239,55,2024-06-30T13:34:12.971000+00:00,4
9550,1239,55,2024-06-30T13:57:44.383000+00:00,3
9550,1239,55,2024-06-30T13:58:58.455000+00:00,4
9550,1239,55,2024-06-30T14:07:23.504000+00:00,4
9550,1239,55,2024-06-30T14:19:01.831000+00:00,2
9550,1239,55,2024-06-30T14:20:12.660000+00:00,3
9540,1239,55,2024-06-28T10:33:09.483000+00:00,4
9540,1239,55,2024-06-28T10:33:17.810000+00:00,5
9540,1239,55,2024-06-28T10:35:52.770000+00:00,5
9540,1239,55,2024-06-28T10:46:05.293000+00:00,5
9540,1239,55,2024-06-28T11:25:07.198000+00:00,2
9540,1239,55,2024-06-28T11:25:18.678000+00:00,3
9540,1239,55,2024-06-28T11:26:45.219000+00:00,4
9545,1239,55,2024-06-28T14:19:26.696000+00:00,4
9545,1239,55,2024-06-28T14:32:59.573000+00:00,5
9545,1239,55,2024-06-28T14:33:37.135000+00:00,2
9545,1239,55,2024-06-28T14:34:04.765000+00:00,3
9545,1239,55,2024-06-28T14:34:23.003000+00:00,4
9545,1239,55,2024-06-28T14:34:26.614000+00:00,5
9545,1239,55,2024-06-28T14:35:16.271000+00:00,2
9545,1239,55,2024-06-28T14:35:29.350000+00:00,3
9545,1239,55,2024-06-28T14:35:33.970000+00:00,4
9545,1239,55,2024-06-28T14:35:45.036000+00:00,5
9545,1239,55,2024-06-28T14:35:53.355000+00:00,5
9545,1239,55,2024-06-28T14:36:22.036000+00:00,2
9545,1239,55,2024-06-28T14:37:26.282000+00:00,3
9545,1239,55,2024-06-28T14:49:20.701000+00:00,4
9545,1239,55,2024-06-28T14:49:25.319000+00:00,5
9545,1239,55,2024-06-28T14:49:32.579000+00:00,2
9545,1239,55,2024-06-28T14:50:16.366000+00:00,3
9545,1239,55,2024-06-28T14:50:51.230000+00:00,4
9545,1239,55,2024-06-28T14:51:01.842000+00:00,5
9545,1239,55,2024-06-28T14:51:09.357000+00:00,2
9545,1239,55,2024-06-28T14:51:45.517000+00:00,3
9545,1239,55,2024-06-28T14:51:56.930000+00:00,4
9545,1239,55,2024-06-28T14:52:07.378000+00:00,5
9545,1239,55,2024-06-28T14:52:14.681000+00:00,2
9545,1239,55,2024-06-28T14:52:32.660000+00:00,3
9545,1239,55,2024-06-28T14:52:50.807000+00:00,4
9545,1239,55,2024-06-28T15:11:24.967000+00:00,5
9545,1239,55,2024-06-28T15:12:00.420000+00:00,3
9545,1239,55,2024-06-28T15:12:14.957000+00:00,4
9545,1239,55,2024-06-28T15:12:57.418000+00:00,5
9545,1239,55,2024-06-28T15:13:35.981000+00:00,3
9545,1239,55,2024-06-28T15:13:43.384000+00:00,4
9545,1239,55,2024-06-28T15:14:02.577000+00:00,5
9545,1239,55,2024-06-28T15:14:40.928000+00:00,4
9545,1239,55,2024-06-28T15:14:48.233000+00:00,5
9549,1239,55,2024-06-29T09:17:44.192000+00:00,5
9549,1239,55,2024-06-29T10:07:19.003000+00:00,4
9549,1239,55,2024-06-29T10:15:25.623000+00:00,5
9541,1239,55,2024-06-29T13:46:51.100000+00:00,4
9541,1239,55,2024-06-29T14:00:11.962000+00:00,5
9541,1239,55,2024-06-29T14:00:46.789000+00:00,2
9541,1239,55,2024-06-29T14:01:03.787000+00:00,3
9541,1239,55,2024-06-29T14:01:18.909000+00:00,4
9541,1239,55,2024-06-29T14:01:38.799000+00:00,5
9541,1239,55,2024-06-29T14:02:29.846000+00:00,2
9541,1239,55,2024-06-29T14:02:40.934000+00:00,3
9541,1239,55,2024-06-29T14:02:44.915000+00:00,4
9541,1239,55,2024-06-29T14:02:58.008000+00:00,5
9541,1239,55,2024-06-29T14:03:36.064000+00:00,1
9541,1239,55,2024-06-29T14:03:46.872000+00:00,2
9541,1239,55,2024-06-29T14:03:55.308000+00:00,3
9541,1239,55,2024-06-29T14:04:05.733000+00:00,4
9541,1239,55,2024-06-29T14:04:21.696000+00:00,5
9541,1239,55,2024-06-29T14:09:18.334000+00:00,1
9541,1239,55,2024-06-29T14:25:04.483000+00:00,2
9541,1239,55,2024-06-29T14:25:15.530000+00:00,3
9541,1239,55,2024-06-29T14:25:19.671000+00:00,1
9541,1239,55,2024-06-29T14:26:35.385000+00:00,2
